NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Torron Harrastekeskus;Torrontie 161;39930;Karvia;Karvia;25.05.2019;Ennakkoon hyväksytty anniskelualue;2978514-7
Trap Factory;Metallimiehenkuja 6 D;02150;Espoo;Espoo;01.04.2020;Ennakkoon hyväksytty anniskelualue;2842807-6
Tukikohta;Sorvarintie 5;90530;Oulu;Oulu;01.06.2019;Ennakkoon hyväksytty anniskelualue;2638172-9
Tulliniemen ranta;Bulevardi 6;10900;Hanko;Hanko;19.11.2019;Ennakkoon hyväksytty anniskelualue;0103166-9
Tullipakkahuone;Tullikamarinkatu 1;67100;Kokkola;Kokkola;16.12.2019;Ennakkoon hyväksytty anniskelualue;0198165-6
Turun Taidehalli;Vanha Suurtori 5;20500;Turku;Turku;22.05.2019;Ennakkoon hyväksytty anniskelualue;2943628-9
Turun VPK:n talo;Eskelinkatu 5;20100;Turku;Turku;09.04.2018;Ennakkoon hyväksytty anniskelualue;0223182-2
Tuulikinsilta, Tapiola;Tuulikinsilta 5;02100;Espoo;Espoo;08.08.2018;Ennakkoon hyväksytty anniskelualue;1829351-8
Tuusmäen tunnelilava;Tunnelilavantie 41;58940;Tuusmäki;Rantasalmi;25.06.2019;Ennakkoon hyväksytty anniskelualue;1465568-1
Tykkihalli;Aleksanterinkuja 2;65100;Vaasa;Vaasa;17.04.2019;Ennakkoon hyväksytty anniskelualue;2637329-4
Tyrnävän tori;Tyrnävän tori;91800;Tyrnävä;Tyrnävä;28.06.2018;Ennakkoon hyväksytty anniskelualue;0190140-9
Tytyri Elämyskaivos, Tytyrisali;Kuilukatu 42;08100;Lohja;Lohja;01.08.2020;Ennakkoon hyväksytty anniskelualue;1068322-0
Tält på Bergö simstrand;Bredhällsvägen 257;66220;Bergö;Maalahti;05.07.2018;Ennakkoon hyväksytty anniskelualue;N/A
Töjby Ungdomslokal;Töjby Skolväg 32;66295;Töjby;Närpiö;15.04.2019;Ennakkoon hyväksytty anniskelualue;0896195-7
Töjby hamnpaviljong;Töjby hamnväg 244;66295;Töjby;Närpiö;27.06.2018;Ennakkoon hyväksytty anniskelualue;0896195-7
UPC;Gerbyntie 18;65230;Vaasa;Vaasa;29.11.2018;Ennakkoon hyväksytty anniskelualue;2659078-2
