NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
R-Kioski Rautatieasema, Oulu;Rautatienkatu 11;90100;Oulu;Oulu;31.10.2016;Vähittäismyyntilupa/max. 5.5 %;2783931-6
R-Kioski Rovaniemi Koskikatu 20;Koskikatu 20;96200;Rovaniemi;Rovaniemi;11.06.2019;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-Kioski Salla;Myllytie 2;98900;Salla;Salla;22.09.2014;Vähittäismyyntilupa/max. 5.5 %;2630056-2
R-Kioski Sastamala, Puistokatu 1;Puistokatu 1;38200;Sastamala;Sastamala;08.09.2014;Vähittäismyyntilupa/max. 5.5 %;2631102-6
R-Kioski Savitaipale;Torikatu 6;54800;Savitaipale;Savitaipale;20.01.2020;Vähittäismyyntilupa/max. 5.5 %;3099794-8
R-Kioski Seinäjoki Kasperi;Kasperinviita 15;60150;Seinäjoki;Seinäjoki;27.12.2016;Vähittäismyyntilupa/max. 5.5 %;2794547-7
R-Kioski Seinäjoki Keskuskatu 11;Keskuskatu 11;60100;Seinäjoki;Seinäjoki;24.11.2014;Vähittäismyyntilupa/max. 5.5 %;2647912-8
R-Kioski Seinäjoki Kivistö;Ruukintie 74;60100;Seinäjoki;Seinäjoki;15.02.2018;Vähittäismyyntilupa/max. 5.5 %;2826374-2
R-Kioski Seinäjoki Matkakeskus;Valtionkatu 1;60100;Seinäjoki;Seinäjoki;22.04.2014;Vähittäismyyntilupa/max. 5.5 %;N/A
R-Kioski Siilinjärvi Tori;Toritie 10;71800;Siilinjärvi;Siilinjärvi;27.08.2018;Vähittäismyyntilupa/max. 5.5 %;2628291-5
R-Kioski Sodankylä;Jäämerentie 14;99600;Sodankylä;Sodankylä;17.01.2018;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-Kioski Somero;Kiiruuntie 1;31400;Somero;Somero;18.05.2020;Vähittäismyyntilupa/max. 5.5 %;2628915-6
R-Kioski Sotkamo;Kainuuntie 16;88600;Sotkamo;Sotkamo;05.12.2016;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-Kioski Suonenjoki Rautalammintie;Rautalammintie 14;77600;Suonenjoki;Suonenjoki;23.01.2020;Vähittäismyyntilupa/max. 5.5 %;2656584-3
R-Kioski Sysmä;Sysmäntie 47;19700;Sysmä;Sysmä;02.05.2017;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-Kioski Tampere Asema;Rautatienkatu 25;33100;Tampere;Tampere;03.12.2018;Vähittäismyyntilupa/max. 5.5 %;2607051-7
R-Kioski Tampere Epilä;Pispalanvaltatie 131;33270;Tampere;Tampere;12.01.2015;Vähittäismyyntilupa/max. 5.5 %;2658753-2
R-Kioski Tampere Hervanta;Lindforsinkatu 2;33720;Tampere;Tampere;26.02.2019;Vähittäismyyntilupa/max. 5.5 %;2683323-8
R-Kioski Tampere Kaukajärvi;Keskisenkatu 5;33710;Tampere;Tampere;08.01.2018;Vähittäismyyntilupa/max. 5.5 %;2683323-8
R-Kioski Tampere Keskustori;Keskustori 1;33100;Tampere;Tampere;01.09.2020;Vähittäismyyntilupa/max. 5.5 %;3145925-2
R-Kioski Tampere Koivistonkylä;Koivistontie 10;33820;Tampere;Tampere;02.07.2018;Vähittäismyyntilupa/max. 5.5 %;2917378-1
R-Kioski Tampere Koskilinna;Hatanpäänvaltatie 2;33100;Tampere;Tampere;08.12.2014;Vähittäismyyntilupa/max. 5.5 %;2652425-9
R-Kioski Tampere Lielahti;Possijärvenkatu 3;33400;Tampere;Tampere;04.08.2014;Vähittäismyyntilupa/max. 5.5 %;2625045-4
R-Kioski Tampere Pyynikintori;Pyynikintori 8;33230;Tampere;Tampere;05.08.2013;Vähittäismyyntilupa/max. 5.5 %;2556991-4
R-Kioski Tampere R-Minimarket;Kyllikinkatu 11;33100;Tampere;Tampere;05.05.2014;Vähittäismyyntilupa/max. 5.5 %;2614279-5
R-Kioski Tampere Tesoma;Tesoman Valtatie 37;33310;Tampere;Tampere;09.10.2017;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-Kioski Tehtaankatu 13;Tehtaankatu 13;67100;Kokkola;Kokkola;02.10.2017;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-Kioski Temppelikatu;Temppelikatu 2;48700;Kyminlinna;Kotka;02.05.2016;Vähittäismyyntilupa/max. 5.5 %;2755786-1
R-Kioski Teuva;Porvarintie 16 B;64700;Teuva;Teuva;12.02.2018;Vähittäismyyntilupa/max. 5.5 %;2883032-1
R-Kioski Toijala Hämeentie;Hämeentie 62;37800;Akaa;Akaa;16.04.2014;Vähittäismyyntilupa/max. 5.5 %;2611452-4
R-Kioski Toijalan tori;Kirkkotori 10;37800;Akaa;Akaa;20.06.2016;Vähittäismyyntilupa/max. 5.5 %;2759087-2
R-Kioski Tornio Kemintie;Kemintie 11;95420;Tornio;Tornio;05.03.2020;Vähittäismyyntilupa/max. 5.5 %;2611318-5
R-Kioski Turku Nummi;Hämeentie 20;20540;Turku;Turku;29.09.2014;Vähittäismyyntilupa/max. 5.5 %;2631871-1
R-Kioski Urjala;Urjalantie 15;31760;Urjala;Urjala;16.04.2014;Vähittäismyyntilupa/max. 5.5 %;2611452-4
R-Kioski Uusikaupunki Ketunkallio;Ketunkalliontie 3;23500;Uusikaupunki;Uusikaupunki;29.10.2018;Vähittäismyyntilupa/max. 5.5 %;2700352-7
R-Kioski Valkeakoski Koskikara;Valtakatu 9-11;37600;Valkeakoski;Valkeakoski;29.10.2014;Vähittäismyyntilupa/max. 5.5 %;2643074-6
R-Kioski Valkeakoski Salomaantie 9;Salomaantie 9;37630;Valkeakoski;Valkeakoski;26.06.2019;Vähittäismyyntilupa/max. 5.5 %;2999651-8
R-Kioski Valtatie 39;Valtatie 39;99100;Kittilä;Kittilä;01.10.2011;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-Kioski Varkaus Kauppakatu;Kauppakatu 36;78200;Varkaus;Varkaus;23.02.2015;Vähittäismyyntilupa/max. 5.5 %;2668539-4
R-Kioski Viiala Keskuskatu 48;Keskuskatu 48;37830;Akaa;Akaa;28.10.2019;Vähittäismyyntilupa/max. 5.5 %;2611452-4
R-Kioski Vilppula;Keskuskatu 5;35700;Vilppula;Mänttä-vilppula;10.09.2014;Vähittäismyyntilupa/max. 5.5 %;2632492-7
R-Kioski Vilpuntie;Vilpuntie 1;92130;Raahe;Raahe;06.06.2016;Vähittäismyyntilupa/max. 5.5 %;2631261-9
R-Kioski Vimpeli;Patruunantie 13;62800;Vimpeli;Vimpeli;26.11.2014;Vähittäismyyntilupa/max. 5.5 %;2647648-8
R-Kioski Virrat;Keskustie 2;34800;Virrat;Virrat;05.08.2019;Vähittäismyyntilupa/max. 5.5 %;2997929-1
R-Kioski Ylöjärvi Mikkolantie;Mikkolantie 2;33470;Ylöjärvi;Ylöjärvi;20.03.2019;Vähittäismyyntilupa/max. 5.5 %;2618215-6
R-Kioski Ähtäri;Ostolantie 14;63700;Ähtäri;Ähtäri;16.12.2019;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-Kioski, Kaijonharju;Sammonkatu 10;90570;Oulu;Oulu;14.09.2020;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-Kioski, Kaijonharju;Sammonkatu 10;90570;Oulu;Oulu;08.09.2014;Vähittäismyyntilupa/max. 5.5 %;2628909-2
