Etunimi;Lukumäärä
Einar;1 992
Lari;1 983
Tobias;1 982
Eric;1 980
Jooa;1 975
Elmo;1 941
Taavi;1 940
Petter;1 918
Tommy;1 917
Anttoni;1 914
Manu;1 904
Asser;1 874
Kurt;1 853
Eemi;1 841
Leonard;1 835
Taavetti;1 828
Per;1 821
Aleksis;1 798
Karri;1 793
Håkan;1 779
Adam;1 750
Verner;1 731
Simon;1 722
Tenho;1 720
Ari-Pekka;1 720
Valter;1 709
Ahmed;1 706
Erno;1 699
Björn;1 695
Roger;1 691
Touko;1 679
Bo;1 672
Gustaf;1 662
Milo;1 659
Jonatan;1 658
Valentin;1 640
Åke;1 636
Ralf;1 629
Vertti;1 625
Jori;1 621
Jalo;1 617
Kaarle;1 615
Helge;1 605
Nikolas;1 598
Jerry;1 598
Victor;1 594
Kimi;1 570
Casper;1 547
Aslak;1 537
Edward;1 517
Sulevi;1 512
Christoffer;1 505
Kosti;1 500
Heino;1 497
Dan;1 489
Albin;1 475
Timi;1 456
Tuure;1 453
Elis;1 451
Linus;1 443
Bernhard;1 441
Rauli;1 410
Jan-Erik;1 398
Kevin;1 393
Birger;1 392
Mico;1 378
Salomon;1 369
Raine;1 368
Jiri;1 360
Arthur;1 346
Iikka;1 333
Alvari;1 324
Ulf;1 322
Leon;1 315
Jari-Pekka;1 305
Harald;1 287
Georg;1 285
Petrus;1 282
Nicolas;1 265
Börje;1 262
Ilmo;1 254
Waldemar;1 252
Elia;1 248
Noah;1 248
Kristoffer;1 248
Bror;1 247
Taito;1 245
Auvo;1 237
Ingmar;1 237
Isak;1 236
Jarl;1 194
Walter;1 188
Arne;1 183
James;1 181
Väinämö;1 180
Alf;1 177
Iisak;1 175
Filip;1 168
Sampsa;1 157
Vincent;1 153
Kasimir;1 152
Adrian;1 150
Christopher;1 145
Vilhelmi;1 140
Rudolf;1 127
Niki;1 124
Jens;1 119
Visa;1 112
Valto;1 106
Tiitus;1 102
Nicholas;1 081
Uljas;1 068
Iivo;1 058
Erkka;1 056
Altti;1 054
Emanuel;1 041
Kjell;1 031
Niclas;1 031
Joose;1 023
Elliot;1 013
Ben;1 006
André;1 006
Paulus;1 004
Adolf;999
Teo;992
Jose;991
Ville-Veikko;989
Eevertti;976
Aksel;973
Okko;972
Marco;961
Torsten;958
Konstantin;952
Tor;951
Isto;950
Artur;945
Aamos;944
Sasu;943
Ragnar;941
Helmer;941
Liam;941
Simeon;935
Hjalmar;932
Antonio;927
Oula;925
Wiljami;919
Viking;916
Jooseppi;915
Jakob;910
Niila;903
Jon;902
Holger;901
Maximilian;901
Bertel;898
Cristian;897
Aatto;895
Ole;890
Manuel;886
Elmer;883
Noa;883
Venni;875
Andrei;874
Benjam;867
Johnny;864
Ivar;862
Jimmy;861
Roy;861
Mio;856
Torsti;851
Aron;842
Sakarias;841
Valo;837
Miikkael;827
Bjarne;827
Usko;826
Asseri;825
Amos;814
Anthony;799
Vesa-Matti;796
Uuno;794
Leander;793
Hemmo;783
Jussi-Pekka;780
Dennis;777
Yrjänä;773
Ilja;771
Omar;766
Otava;763
Alfons;759
Ove;756
Benjami;747
Romeo;742
Mark;741
Teodor;740
Atso;739
Olav;737
Valfrid;737
Marius;734
Osvald;731
Frank;730
Kaspian;727
Hassan;723
Mauritz;723
Mohammed;718
Ibrahim;715
Jim;713
Antinpoika;710
Roland;708
Turo;707
Tim;705
Jare;702
Jeremia;700
Miikael;695
Arimo;691
Valtter;688
Into;687
Jonni;681
Ruben;680
Dimitri;679
Theo;679
Rene;677
Kauno;675
Rune;674
Mohammad;666
Boris;660
Anselm;658
Gösta;657
Jörgen;654
Ferdinand;653
Aleksei;652
Bruno;651
Julian;650
Reko;643
Casimir;637
Joachim;633
Petja;629
Micael;626
Neo;624
Sam;621
Abdi;620
Arno;619
Jesperi;617
Philip;616
Immanuel;611
Erland;608
Kaius;607
Joosua;606
Eppu;606
Werner;605
Pekko;604
Ernst;603
Vladimir;600
Runar;597
Raino;593
Guy;592
Ylermi;591
Evald;586
Herbert;583
Charles;581
Jacob;581
Nestor;578
Bertil;577
Sten;574
Matinpoika;573
Miki;573
Zacharias;571
Fabian;569
Dani;566
Jasu;566
Ivan;565
Mirko;564
Pontus;563
Matts;562
Sameli;560
Abdullahi;559
Antto;559
Juhanpoika;556
Aleksandr;554
Jean;552
Juri;552
Tage;546
Sylvester;545
Yngve;544
Toimi;536
Vesa-Pekka;534
Theodor;533
Ville-Pekka;532
Nicklas;530
Eugen;526
Kent;519
Sergei;518
Abdirahman;509
Arsi;505
Arnold;505
Salomo;503
Jaro;502
Edwin;498
Wiljam;493
